timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
08/09/2021,138.14,139.09,137.6,138.67,130.7967193,2985409,0,1
09/09/2021,137.85,138.96,137.555,137.74,129.9195221,3508363,0,1
10/09/2021,138.82,139.3699,137,137.02,129.2404016,3975115,0,1
13/09/2021,138.4,138.99,137.51,138.15,130.3062434,4144345,0,1
14/09/2021,138.4,138.57,135.34,136.22,128.4858232,4454291,0,1
15/09/2021,136.22,137.8,135.67,137.2,129.4101817,3254122,0,1
16/09/2021,137.28,137.95,135.71,136.43,128.6839001,2643975,0,1
17/09/2021,135.75,135.9199,135.05,135.23,127.5520326,5633480,0,1
20/09/2021,133.9,135.18,132.78,134.31,126.6842675,4770651,0,1
21/09/2021,135.11,135.65,132.94,132.97,125.4203488,4074528,0,1
22/09/2021,133.72,135.37,133.47,134.63,126.9860988,3602416,0,1
23/09/2021,135.25,137.42,135.03,136.73,128.9668669,3013238,0,1
24/09/2021,137.03,138.48,136.75,137.49,129.6837163,2964397,0,1
27/09/2021,137.96,139.065,137.48,138.56,130.6929648,3306865,0,1
28/09/2021,139.17,139.688,137.21,137.47,129.6648519,4314595,0,1
29/09/2021,137.73,139.93,136.44,139.18,131.277763,3774236,0,1
30/09/2021,140,140.57,138.5,138.93,131.0419573,5824431,0,1
01/10/2021,141,143.97,140.37,143.32,135.1827058,6604064,0,1
04/10/2021,142.74,146,142.3501,144.11,135.9278519,7351128,0,1
05/10/2021,144.75,145,142.64,143.15,135.0223579,6976648,0,1
06/10/2021,142.48,143.37,140.89,142.36,134.2772118,5328433,0,1
07/10/2021,142.73,143.395,141.53,141.81,133.7584393,3823803,0,1
08/10/2021,141.81,143.65,141.05,143.22,135.0883835,3731279,0,1
11/10/2021,143.5,144.08,142.4,142.43,134.3432374,2793298,0,1
12/10/2021,142.21,142.3,140.3,140.47,132.4945206,3148559,0,1
13/10/2021,140.52,141.41,139.66,140.76,132.7680552,2880747,0,1
14/10/2021,141.04,143.92,141.01,143.39,135.2487314,4217305,0,1
15/10/2021,143.39,144.85,142.79,144.61,136.3994634,3222778,0,1
18/10/2021,144,144.94,141.759,142.32,134.2394829,6154055,0,1
19/10/2021,141.08,142.94,140.5201,141.98,133.9187871,4339548,0,1
20/10/2021,141.68,142.2,140.7,141.9,133.8433293,6189255,0,1
21/10/2021,133.51,133.72,128.1,128.33,121.0437946,31466529,0,1
22/10/2021,128.05,130.25,126.611,127.88,120.6193443,11582195,0,1
25/10/2021,127.53,128.65,126.94,127.64,120.3929708,6374038,0,1
26/10/2021,127.52,128.3,126.755,127.13,119.9119271,8520872,0,1
27/10/2021,127.44,127.88,125.01,125.17,118.0632102,6973432,0,1
28/10/2021,125.17,126.31,124.62,125.84,118.6951696,6503003,0,1
29/10/2021,125.43,126.32,124.91,125.1,117.9971846,5916789,0,1
01/11/2021,125.05,126.31,123.8375,126.28,119.1101876,5874767,0,1
02/11/2021,126.3,127.17,124.91,126.18,119.0158653,4496393,0,1
03/11/2021,126.23,127.29,125.68,127.13,119.9119271,5421406,0,1
04/11/2021,123.05,123.34,119.9,120.85,119.2319577,7208736,0,1.046
05/11/2021,121.43,123.77,121.43,123.61,121.9550045,6790478,0,1
08/11/2021,123.985,124.78,123.53,124.54,122.8725529,5625275,0,1
09/11/2021,122.56,122.9,120.26,120.85,120.85,7195453,1.64,1
10/11/2021,121,122.43,119.932,120.22,120.22,6268961,0,1
11/11/2021,120.9,121.7894,120.08,120.27,120.27,4643257,0,1
12/11/2021,120,120.64,118.78,118.96,118.96,5376966,0,1
15/11/2021,119.54,120.16,118.31,118.87,118.87,5046321,0,1
16/11/2021,118.92,119.9,118.42,118.46,118.46,4750760,0,1
17/11/2021,118.38,119.33,117.78,118.06,118.06,4043289,0,1
18/11/2021,118.36,118.36,116.31,116.66,116.66,5047879,0,1
19/11/2021,116.49,116.56,115.27,116.05,116.05,5384548,0,1
22/11/2021,116,118.81,115.19,116.47,116.47,6417218,0,1
23/11/2021,116.79,117.94,116.04,116.79,116.79,4914995,0,1
24/11/2021,116.16,117.27,116.08,116.73,116.73,3220802,0,1
26/11/2021,115,116.335,114.56,115.81,115.81,3322012,0,1
29/11/2021,118.62,119.61,117.53,118.5,118.5,8949795,0,1
30/11/2021,117.5,119.2399,116.45,117.1,117.1,9252701,0,1
01/12/2021,118.25,118.93,116.85,116.92,116.92,5959867,0,1
02/12/2021,117.37,117.98,116.56,116.9,116.9,5267149,0,1
03/12/2021,117.36,119.36,117.36,118.84,118.84,6630139,0,1
06/12/2021,119.4,121.15,119.4,119.91,119.91,4785560,0,1
07/12/2021,120.475,122.08,120.07,121.58,121.58,5193991,0,1
08/12/2021,122,123.38,121.52,123.02,123.02,5483948,0,1
09/12/2021,122.15,123.95,121.79,123.57,123.57,4601092,0,1
10/12/2021,124.3,125.33,123.36,124.09,124.09,4966921,0,1
13/12/2021,123.76,124.3554,120.79,122.58,122.58,6847468,0,1
14/12/2021,122.35,125.03,122.3,123.76,123.76,5716124,0,1
15/12/2021,123.8,124.815,122.18,123.11,123.11,4990028,0,1
16/12/2021,123.51,126.6399,123.475,125.93,125.93,7280537,0,1
17/12/2021,125.87,128.64,125.2093,127.4,127.4,10382693,0,1
20/12/2021,125.72,127.2,124.7,127.06,127.06,4941411,0,1
21/12/2021,127.66,129.3356,127.66,128.97,128.97,4855972,0,1
22/12/2021,129.06,129.79,127.6,129.75,129.75,3923198,0,1
23/12/2021,130,130.96,129.52,130.63,130.63,3649044,0,1
27/12/2021,130.63,131.65,129.95,131.62,131.62,4294499,0,1
28/12/2021,131.6,133.22,131.59,132.63,132.63,3447079,0,1
